time,open,close
2007/12/11,5180.54,5175.08
2007/12/12,5148.25,5095.54
2007/12/13,5078.18,4958.04
2007/12/14,4899.75,5007.91
2007/12/17,5007.28,4876.76
2007/12/18,4856.47,4836.17
2007/12/19,4878.07,4941.78
2007/12/20,4965.29,5043.53
2007/12/21,5017.19,5101.78
2007/12/24,5132.91,5234.26
2007/12/25,5233.18,5201.18
2007/12/26,5209.03,5233.35
2007/12/27,5248.22,5308.89
2007/12/28,5320.01,5261.56
2008/1/2,5265,5272.81
2008/1/3,5269.8,5319.86
2008/1/4,5328.41,5361.57
2008/1/7,5357.45,5393.34
2008/1/8,5414.56,5386.53
2008/1/9,5365.22,5435.81
2008/1/10,5449.16,5456.54
2008/1/11,5471.39,5484.68
2008/1/14,5507.58,5497.9
2008/1/15,5503.93,5443.79
2008/1/16,5395.28,5290.61
2008/1/17,5235.91,5151.63
2008/1/18,5141.37,5180.51
2008/1/21,5188.8,4914.44
2008/1/22,4818,4559.75
2008/1/23,4572.9,4703.05
2008/1/24,4753.44,4717.73
2008/1/25,4716.98,4761.69
2008/1/28,4720.56,4419.29
2008/1/29,4426.27,4457.94
2008/1/30,4505.64,4417.85
2008/1/31,4408.02,4383.39
2008/2/1,4388.25,4320.77
2008/2/4,4415.02,4672.17
2008/2/5,4622.54,4599.7
2008/2/13,4525.03,4490.72
2008/2/14,4527.05,4552.32
2008/2/15,4523.79,4497.13
2008/2/18,4546.75,4568.15
2008/2/19,4582.28,4664.3
2008/2/20,4682.59,4567.03
2008/2/21,4534.17,4527.18
2008/2/22,4500.39,4370.28
2008/2/25,4370.19,4192.53
2008/2/26,4302.73,4238.18
2008/2/27,4256.53,4334.05
2008/2/28,4343.28,4299.51
2008/2/29,4293.53,4348.54
2008/3/3,4323.7,4438.27
2008/3/4,4454.18,4335.45
2008/3/5,4316.25,4292.65
2008/3/6,4310.35,4360.99
2008/3/7,4315.81,4300.52
2008/3/10,4265.61,4146.3
2008/3/11,4121.65,4165.88
2008/3/12,4254.67,4070.12
2008/3/13,4033.32,3971.26
2008/3/14,3956.75,3962.67
2008/3/17,3941.26,3820.05
2008/3/18,3789.57,3668.9
2008/3/19,3746.05,3761.61
2008/3/20,3721.5,3804.05
2008/3/21,3790.11,3796.58
2008/3/24,3830.35,3626.19
2008/3/25,3559.94,3629.62
2008/3/26,3644.13,3606.86
2008/3/27,3541.28,3411.49
2008/3/28,3378.63,3580.15
2008/3/31,3465.91,3472.71
2008/4/1,3461.09,3329.16
2008/4/2,3370.6,3347.88
2008/4/3,3323.43,3446.24
2008/4/7,3418.52,3599.62
2008/4/8,3604.26,3612.54
2008/4/9,3585.85,3413.91
2008/4/10,3378.14,3471.74
2008/4/11,3498.55,3492.89
2008/4/14,3419.05,3296.67
2008/4/15,3282.57,3348.35
2008/4/16,3349.93,3291.6
2008/4/17,3286.41,3222.74
2008/4/18,3200.57,3094.67
2008/4/21,3305.15,3116.98
2008/4/22,3076.72,3147.79
2008/4/23,3116.41,3278.33
2008/4/24,3539.87,3583.03
2008/4/25,3572.55,3557.75
2008/4/28,3497.38,3474.72
2008/4/29,3457.35,3523.41
2008/4/30,3545.57,3693.11
2008/5/5,3739.8,3761.01
2008/5/6,3735.85,3733.5
2008/5/7,3716.45,3579.15
